Site,Site Name,Period Start,Period End,Car Count,Gross Revenue,Credit Card Sales,Cash Sales,Vending Machine Sales,Other Sales,Net Weekly Club & PpW Subscriptions,Weekly Club & PpW Sales Tax Collected,Sales Tax,Revenue Per Car,App Revenue,Gift Cards Activated ($),Quality 1-Mo Activated,Quality 3-Mo Activated,Works 1-Mo Activated,Works 3-Mo Activated,Gift Cards Redeemed ($),Quality 1-Mo Redeemed,Quality 3-Mo Redeemed,Works 1-Mo Redeemed,Works 3-Mo Redeemed,Club Payments Collected (Count),Gross Subscription Payments,Subscription Refunds,Net Subscription Revenue,PPW Payments Collected (Count),Gross PPW Payments,PPW Refunds,Net PPW Revenue,Crossover Wash Total,Subscription Credit Card Fees,Other Credit Card Fees,Technology Fee,Brand Development Fee,Royalty,Disputed Charges Lost,Expenses Total,Distribution Total,Credit Card % of Revenue,Cash % of Revenue,Club & PpW % of Revenue
TX160,Houston FM 1960,2026-03-16,2026-03-22,2104.0,14479.96,6600.97,960.99,0.0,0.0,6918.0,0.0,0.0,6.88,6935.0,36.99,0.0,0.0,1.0,0.0,19.99,1.0,0.0,0.0,0.0,191.0,6447.28,110.97,6336.31,33.0,433.0,65.0,368.0,230.69,167.67,41.35,70.0,144.8,579.2,0.0,1003.02,5914.98,45.6,6.6,47.8
TX190,Houston El Camino,2026-03-16,2026-03-22,1557.0,11858.1,4448.88,933.99,0.0,0.0,6475.23,0.0,0.0,7.62,6653.46,259.87,1.0,4.0,0.0,0.0,81.64,1.0,0.0,2.0,0.0,175.0,5950.92,56.98,5893.94,38.0,610.0,0.0,610.0,149.52,159.77,27.36,70.0,118.58,474.32,0.0,850.04,5625.2,37.5,7.9,54.6
UT426,Saratoga Springs,2026-03-16,2026-03-22,1152.0,7403.9,2483.37,31.0,0.0,0.0,4889.9,0.0,0.37,6.43,4889.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,5018.29,274.9,4743.39,11.0,158.0,0.0,158.0,-11.49,123.64,17.19,70.0,74.04,296.16,0.0,581.03,4308.88,33.5,0.4,66.0
ALL,All Sites,2026-03-16,2026-03-22,4813.0,33741.96,13533.22,1925.98,0.0,0.0,18283.13,0.0,0.37,7.01,18478.36,296.86,1.0,4.0,1.0,0.0,101.63,2.0,0.0,2.0,0.0,505.0,17416.49,442.85,16973.64,82.0,1201.0,65.0,1136.0,368.72,451.08,85.9,210.0,337.42,1349.68,0.0,2434.09,15849.06,40.1,5.7,54.2
