site_id,site_name,task_id,schedule_start,schedule_end,status
265,"Houston TX - FM 1960",11688,"2026-02-01T23:00:00.000+00:00","2026-02-01T23:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",11688,"2026-02-02T00:00:00.000+00:00","2026-02-02T00:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",11688,"2026-02-02T01:00:00.000+00:00","2026-02-02T01:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",11688,"2026-02-02T02:00:00.000+00:00","2026-02-02T05:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",11688,"2026-02-02T13:00:00.000+00:00","2026-02-02T13:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-02T14:00:00.000+00:00","2026-02-02T14:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-02T15:00:00.000+00:00","2026-02-02T15:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-02T16:00:00.000+00:00","2026-02-02T16:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-02T17:00:00.000+00:00","2026-02-02T17:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-02T18:00:00.000+00:00","2026-02-02T18:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-02T19:00:00.000+00:00","2026-02-02T19:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-02T20:00:00.000+00:00","2026-02-02T20:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-02T21:00:00.000+00:00","2026-02-02T21:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-02T22:00:00.000+00:00","2026-02-02T22:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-02T23:00:00.000+00:00","2026-02-02T23:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-03T00:00:00.000+00:00","2026-02-03T00:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-03T01:00:00.000+00:00","2026-02-03T01:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-03T02:00:00.000+00:00","2026-02-03T05:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-03T13:00:00.000+00:00","2026-02-03T13:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",11688,"2026-02-03T14:00:00.000+00:00","2026-02-03T14:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-03T15:00:00.000+00:00","2026-02-03T15:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-03T16:00:00.000+00:00","2026-02-03T16:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-03T17:00:00.000+00:00","2026-02-03T17:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-03T18:00:00.000+00:00","2026-02-03T18:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-03T19:00:00.000+00:00","2026-02-03T19:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-03T20:00:00.000+00:00","2026-02-03T20:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-03T21:00:00.000+00:00","2026-02-03T21:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-03T22:00:00.000+00:00","2026-02-03T22:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-03T23:00:00.000+00:00","2026-02-03T23:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-04T00:00:00.000+00:00","2026-02-04T00:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-04T01:00:00.000+00:00","2026-02-04T01:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-04T02:00:00.000+00:00","2026-02-04T05:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",11688,"2026-02-04T13:00:00.000+00:00","2026-02-04T13:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-04T14:00:00.000+00:00","2026-02-04T14:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-04T15:00:00.000+00:00","2026-02-04T15:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-04T16:00:00.000+00:00","2026-02-04T16:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-04T17:00:00.000+00:00","2026-02-04T17:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-04T18:00:00.000+00:00","2026-02-04T18:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-04T19:00:00.000+00:00","2026-02-04T19:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-04T20:00:00.000+00:00","2026-02-04T20:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-04T21:00:00.000+00:00","2026-02-04T21:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-04T22:00:00.000+00:00","2026-02-04T22:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-04T23:00:00.000+00:00","2026-02-04T23:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-05T00:00:00.000+00:00","2026-02-05T00:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-05T01:00:00.000+00:00","2026-02-05T01:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-05T02:00:00.000+00:00","2026-02-05T05:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",11688,"2026-02-05T13:00:00.000+00:00","2026-02-05T13:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-05T14:00:00.000+00:00","2026-02-05T14:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-05T15:00:00.000+00:00","2026-02-05T15:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-05T16:00:00.000+00:00","2026-02-05T16:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-05T17:00:00.000+00:00","2026-02-05T17:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-05T18:00:00.000+00:00","2026-02-05T18:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-05T19:00:00.000+00:00","2026-02-05T19:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-05T20:00:00.000+00:00","2026-02-05T20:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-05T21:00:00.000+00:00","2026-02-05T21:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-05T22:00:00.000+00:00","2026-02-05T22:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-05T23:00:00.000+00:00","2026-02-05T23:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-06T00:00:00.000+00:00","2026-02-06T00:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-06T01:00:00.000+00:00","2026-02-06T01:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-06T02:00:00.000+00:00","2026-02-06T05:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",11688,"2026-02-06T13:00:00.000+00:00","2026-02-06T13:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-06T14:00:00.000+00:00","2026-02-06T14:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",11688,"2026-02-06T15:00:00.000+00:00","2026-02-06T15:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-06T16:00:00.000+00:00","2026-02-06T16:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-06T17:00:00.000+00:00","2026-02-06T17:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-06T18:00:00.000+00:00","2026-02-06T18:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-06T19:00:00.000+00:00","2026-02-06T19:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-06T20:00:00.000+00:00","2026-02-06T20:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-06T21:00:00.000+00:00","2026-02-06T21:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-06T22:00:00.000+00:00","2026-02-06T22:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-06T23:00:00.000+00:00","2026-02-06T23:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-07T00:00:00.000+00:00","2026-02-07T00:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-07T01:00:00.000+00:00","2026-02-07T01:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-07T02:00:00.000+00:00","2026-02-07T05:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",11688,"2026-02-07T13:00:00.000+00:00","2026-02-07T13:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",11688,"2026-02-07T14:00:00.000+00:00","2026-02-07T14:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-07T15:00:00.000+00:00","2026-02-07T15:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-07T16:00:00.000+00:00","2026-02-07T16:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-07T17:00:00.000+00:00","2026-02-07T17:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-07T18:00:00.000+00:00","2026-02-07T18:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-07T19:00:00.000+00:00","2026-02-07T19:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-07T20:00:00.000+00:00","2026-02-07T20:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-07T21:00:00.000+00:00","2026-02-07T21:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-07T22:00:00.000+00:00","2026-02-07T22:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-07T23:00:00.000+00:00","2026-02-07T23:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-08T00:00:00.000+00:00","2026-02-08T00:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-08T01:00:00.000+00:00","2026-02-08T01:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-08T02:00:00.000+00:00","2026-02-08T05:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",11688,"2026-02-08T13:00:00.000+00:00","2026-02-08T13:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",11688,"2026-02-08T14:00:00.000+00:00","2026-02-08T14:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",11688,"2026-02-08T15:00:00.000+00:00","2026-02-08T15:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",11688,"2026-02-08T16:00:00.000+00:00","2026-02-08T16:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-08T17:00:00.000+00:00","2026-02-08T17:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-08T18:00:00.000+00:00","2026-02-08T18:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-08T19:00:00.000+00:00","2026-02-08T19:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-08T20:00:00.000+00:00","2026-02-08T20:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-08T21:00:00.000+00:00","2026-02-08T21:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-08T22:00:00.000+00:00","2026-02-08T22:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",11688,"2026-02-08T23:00:00.000+00:00","2026-02-08T23:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",11688,"2026-02-09T00:00:00.000+00:00","2026-02-09T00:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",11688,"2026-02-09T01:00:00.000+00:00","2026-02-09T01:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",11688,"2026-02-09T02:00:00.000+00:00","2026-02-09T05:59:59.999+00:00","Expired"
